trial_id,measurement_noise,outcome,distance_from_separatrix,earliest_stable_fraction,confidence_margin
0,0.0,1,0.12206737842680543,0.1,0.15
0,0.02,1,0.12206737842680543,0.05,0.15
0,0.05,1,0.12206737842680543,0.1,0.15
0,0.1,1,0.12206737842680543,0.1,0.15
0,0.15,1,0.12206737842680543,0.05,0.15
1,0.0,0,0.18896146312677603,0.05,0.15
1,0.02,0,0.18896146312677603,0.05,0.15
1,0.05,0,0.18896146312677603,0.05,0.15
1,0.1,0,0.18896146312677603,0.05,0.15
1,0.15,0,0.18896146312677603,0.05,0.15
2,0.0,0,0.08398325382729685,0.3,0.15
2,0.02,0,0.08398325382729685,0.3,0.15
2,0.05,0,0.08398325382729685,0.3,0.15
2,0.1,0,0.08398325382729685,0.2,0.15
2,0.15,0,0.08398325382729685,0.1,0.15
3,0.0,0,0.06164107797398903,0.2,0.15
3,0.02,0,0.06164107797398903,0.3,0.15
3,0.05,0,0.06164107797398903,0.2,0.15
3,0.1,0,0.06164107797398903,0.2,0.15
3,0.15,0,0.06164107797398903,0.2,0.15
4,0.0,1,0.012034780618329556,0.5,0.15
4,0.02,1,0.012034780618329556,0.5,0.15
4,0.05,1,0.012034780618329556,0.5,0.15
4,0.1,1,0.012034780618329556,0.5,0.15
4,0.15,1,0.012034780618329556,0.5,0.15
5,0.0,0,0.0326091399733551,0.15,0.15
5,0.02,0,0.0326091399733551,0.15,0.15
5,0.05,0,0.0326091399733551,0.2,0.15
5,0.1,0,0.0326091399733551,0.05,0.15
5,0.15,0,0.0326091399733551,0.1,0.15
6,0.0,1,0.042696308532273346,0.05,0.15
6,0.02,1,0.042696308532273346,0.05,0.15
6,0.05,1,0.042696308532273346,0.15,0.15
6,0.1,1,0.042696308532273346,0.05,0.15
6,0.15,1,0.042696308532273346,0.1,0.15
7,0.0,0,0.008561509649843667,0.3,0.15
7,0.02,0,0.008561509649843667,0.3,0.15
7,0.05,0,0.008561509649843667,0.3,0.15
7,0.1,0,0.008561509649843667,0.3,0.15
7,0.15,0,0.008561509649843667,0.3,0.15
8,0.0,0,0.008227834446585898,0.5,0.15
8,0.02,0,0.008227834446585898,0.5,0.15
8,0.05,0,0.008227834446585898,0.5,0.15
8,0.1,0,0.008227834446585898,0.5,0.15
8,0.15,0,0.008227834446585898,0.5,0.15
9,0.0,1,0.11744143594076804,0.05,0.15
9,0.02,1,0.11744143594076804,0.05,0.15
9,0.05,1,0.11744143594076804,0.05,0.15
9,0.1,1,0.11744143594076804,0.05,0.15
9,0.15,1,0.11744143594076804,0.05,0.15
10,0.0,0,0.11409408025521343,0.05,0.15
10,0.02,0,0.11409408025521343,0.05,0.15
10,0.05,0,0.11409408025521343,0.05,0.15
10,0.1,0,0.11409408025521343,0.05,0.15
10,0.15,0,0.11409408025521343,0.05,0.15
11,0.0,1,0.058181135314279875,0.5,0.15
11,0.02,1,0.058181135314279875,0.5,0.15
11,0.05,1,0.058181135314279875,0.5,0.15
11,0.1,1,0.058181135314279875,0.5,0.15
11,0.15,1,0.058181135314279875,,0.15
12,0.0,0,0.05624969098260431,0.5,0.15
12,0.02,0,0.05624969098260431,0.5,0.15
12,0.05,0,0.05624969098260431,0.5,0.15
12,0.1,0,0.05624969098260431,0.5,0.15
12,0.15,0,0.05624969098260431,0.5,0.15
13,0.0,1,0.09509953089623584,0.05,0.15
13,0.02,1,0.09509953089623584,0.05,0.15
13,0.05,1,0.09509953089623584,0.05,0.15
13,0.1,1,0.09509953089623584,0.05,0.15
13,0.15,1,0.09509953089623584,0.05,0.15
14,0.0,1,0.025844170293744608,0.5,0.15
14,0.02,1,0.025844170293744608,0.3,0.15
14,0.05,1,0.025844170293744608,0.3,0.15
14,0.1,1,0.025844170293744608,0.3,0.15
14,0.15,1,0.025844170293744608,0.3,0.15
15,0.0,1,0.0468660838759155,0.05,0.15
15,0.02,1,0.0468660838759155,0.05,0.15
15,0.05,1,0.0468660838759155,0.05,0.15
15,0.1,1,0.0468660838759155,0.05,0.15
15,0.15,1,0.0468660838759155,0.1,0.15
16,0.0,1,0.04055265678639009,,0.15
16,0.02,1,0.04055265678639009,,0.15
16,0.05,1,0.04055265678639009,,0.15
16,0.1,1,0.04055265678639009,,0.15
16,0.15,1,0.04055265678639009,0.2,0.15
17,0.0,0,0.008235257144171292,0.3,0.15
17,0.02,0,0.008235257144171292,0.3,0.15
17,0.05,0,0.008235257144171292,0.3,0.15
17,0.1,0,0.008235257144171292,0.3,0.15
17,0.15,0,0.008235257144171292,0.3,0.15
18,0.0,1,0.030871615278658122,0.1,0.15
18,0.02,1,0.030871615278658122,0.1,0.15
18,0.05,1,0.030871615278658122,0.1,0.15
18,0.1,1,0.030871615278658122,0.1,0.15
18,0.15,1,0.030871615278658122,0.1,0.15
19,0.0,1,0.02253155429771229,0.05,0.15
19,0.02,1,0.02253155429771229,0.05,0.15
19,0.05,1,0.02253155429771229,0.05,0.15
19,0.1,1,0.02253155429771229,0.1,0.15
19,0.15,1,0.02253155429771229,0.1,0.15
20,0.0,1,0.29258291212857834,0.05,0.15
20,0.02,1,0.29258291212857834,0.05,0.15
20,0.05,1,0.29258291212857834,0.05,0.15
20,0.1,1,0.29258291212857834,0.05,0.15
20,0.15,1,0.29258291212857834,0.05,0.15
21,0.0,1,0.0179534590377293,0.3,0.15
21,0.02,1,0.0179534590377293,0.3,0.15
21,0.05,1,0.0179534590377293,0.3,0.15
21,0.1,1,0.0179534590377293,0.3,0.15
21,0.15,1,0.0179534590377293,0.3,0.15
22,0.0,1,0.05037278115899435,0.05,0.15
22,0.02,1,0.05037278115899435,0.15,0.15
22,0.05,1,0.05037278115899435,0.15,0.15
22,0.1,1,0.05037278115899435,0.15,0.15
22,0.15,1,0.05037278115899435,0.1,0.15
23,0.0,0,0.0434901612190309,0.05,0.15
23,0.02,0,0.0434901612190309,0.15,0.15
23,0.05,0,0.0434901612190309,0.05,0.15
23,0.1,0,0.0434901612190309,0.05,0.15
23,0.15,0,0.0434901612190309,0.15,0.15
24,0.0,0,0.048457931884373646,0.3,0.15
24,0.02,0,0.048457931884373646,0.3,0.15
24,0.05,0,0.048457931884373646,0.3,0.15
24,0.1,0,0.048457931884373646,0.3,0.15
24,0.15,0,0.048457931884373646,0.3,0.15
25,0.0,0,0.008521476340350272,,0.15
25,0.02,0,0.008521476340350272,,0.15
25,0.05,0,0.008521476340350272,,0.15
25,0.1,0,0.008521476340350272,,0.15
25,0.15,0,0.008521476340350272,,0.15
26,0.0,0,0.03146701091931637,0.3,0.15
26,0.02,0,0.03146701091931637,0.3,0.15
26,0.05,0,0.03146701091931637,0.3,0.15
26,0.1,0,0.03146701091931637,0.3,0.15
26,0.15,0,0.03146701091931637,0.3,0.15
27,0.0,0,0.08359508757743439,0.05,0.15
27,0.02,0,0.08359508757743439,0.05,0.15
27,0.05,0,0.08359508757743439,0.05,0.15
27,0.1,0,0.08359508757743439,0.05,0.15
27,0.15,0,0.08359508757743439,0.05,0.15
28,0.0,1,0.015239895004154378,0.3,0.15
