trial_id,measurement_noise,outcome,snapshot_q,snapshot_prediction
0,0.0,1,0.4964898805441526,0
0,0.02,1,0.4958822294074733,0
0,0.05,1,0.49832801088831363,0
0,0.1,1,0.49866372249321816,0
0,0.15,1,0.493836824547108,0
1,0.0,0,0.503979305115763,1
1,0.02,0,0.5025131632866274,1
1,0.05,0,0.50193007175307,1
1,0.1,0,0.501190305236204,1
1,0.15,0,0.5068068047515605,1
2,0.0,0,0.4921569759177704,0
2,0.02,0,0.49179415020052,0
2,0.05,0,0.4901756039026257,0
2,0.1,0,0.4928565913777942,0
2,0.15,0,0.4905914610035178,0
3,0.0,0,0.4988944645906341,0
3,0.02,0,0.49926534319202304,0
3,0.05,0,0.5007207672902712,1
3,0.1,0,0.5023189141328605,1
3,0.15,0,0.48955494964247154,0
4,0.0,1,0.4986296897886492,0
4,0.02,1,0.49743524091602703,0
4,0.05,1,0.5010477363867248,1
4,0.1,1,0.4970766832103729,0
4,0.15,1,0.4957225224231795,0
5,0.0,0,0.5073564737170215,1
5,0.02,0,0.5070928550944213,1
5,0.05,0,0.5099873579754273,1
5,0.1,0,0.508418517022097,1
5,0.15,0,0.5139438358274296,1
6,0.0,1,0.46970990061891754,0
6,0.02,1,0.46955831514392526,0
6,0.05,1,0.46834861509232234,0
6,0.1,1,0.46925737219775543,0
6,0.15,1,0.4719439135414477,0
7,0.0,0,0.48741433424195824,0
7,0.02,0,0.48804308377877736,0
7,0.05,0,0.4900102102141065,0
7,0.1,0,0.4860054198044987,0
7,0.15,0,0.48862150339736343,0
8,0.0,0,0.49794440124912237,0
8,0.02,0,0.4967749676749252,0
8,0.05,0,0.49913032812970287,0
8,0.1,0,0.4992845509226639,0
8,0.15,0,0.4972194039226821,0
9,0.0,1,0.5070547764896065,1
9,0.02,1,0.5070598183321252,1
9,0.05,1,0.5033121061161977,1
9,0.1,1,0.5074259549369702,1
9,0.15,1,0.5004657225505267,1
10,0.0,0,0.5010860698872627,1
10,0.02,0,0.49994159666173016,0
10,0.05,0,0.5018504577134003,1
10,0.1,0,0.4979319749554278,0
10,0.15,0,0.5113417042348449,1
11,0.0,1,0.5042837173470771,1
11,0.02,1,0.5049282139223482,1
11,0.05,1,0.5065671643931801,1
11,0.1,1,0.5051895092876344,1
11,0.15,1,0.5029704829593561,1
12,0.0,0,0.5056251826835513,1
12,0.02,0,0.5040391437905598,1
12,0.05,0,0.5012274213335012,1
12,0.1,0,0.5007688552149749,1
12,0.15,0,0.5087041164599084,1
13,0.0,1,0.5022745990109608,1
13,0.02,1,0.5025005247843253,1
13,0.05,1,0.5017963813494837,1
13,0.1,1,0.508631850125323,1
13,0.15,1,0.5095834882234692,1
14,0.0,1,0.49890409496782906,0
14,0.02,1,0.49706640928555507,0
14,0.05,1,0.49847754747513373,0
14,0.1,1,0.4987899048733666,0
14,0.15,1,0.49467639724706575,0
15,0.0,1,0.5043160799983676,1
15,0.02,1,0.5026103692794961,1
15,0.05,1,0.5050231828834355,1
15,0.1,1,0.5044964824571544,1
15,0.15,1,0.4961670737208685,0
16,0.0,1,0.501035560641987,1
16,0.02,1,0.5004194388638734,1
16,0.05,1,0.5001912807634564,1
16,0.1,1,0.5017804865707037,1
16,0.15,1,0.5040075632998265,1
17,0.0,0,0.5014413120858133,1
17,0.02,0,0.500602741502437,1
17,0.05,0,0.5017588593580009,1
17,0.1,0,0.5043886418242264,1
17,0.15,0,0.5008579736502238,1
18,0.0,1,0.5006593250240842,1
18,0.02,1,0.5009768788185094,1
18,0.05,1,0.49710749299455237,0
18,0.1,1,0.5031489304974928,1
18,0.15,1,0.48641686603187895,0
19,0.0,1,0.49720324348111206,0
19,0.02,1,0.4978274144223142,0
19,0.05,1,0.49713851173389584,0
19,0.1,1,0.49945189656441774,0
19,0.15,1,0.5047804898344485,1
20,0.0,1,0.4915902045999881,0
20,0.02,1,0.49079773573266017,0
20,0.05,1,0.49331262922836394,0
20,0.1,1,0.49467786736424235,0
20,0.15,1,0.49123721472505877,0
21,0.0,1,0.49310519637770805,0
21,0.02,1,0.493557035057848,0
21,0.05,1,0.4910997916350014,0
21,0.1,1,0.4871403272711466,0
21,0.15,1,0.4840177526267069,0
22,0.0,1,0.49904220944660466,0
22,0.02,1,0.4971645012318958,0
22,0.05,1,0.5007836636669951,1
22,0.1,1,0.5056511731517346,1
22,0.15,1,0.4823546625476683,0
23,0.0,0,0.4999033791143398,0
23,0.02,0,0.49978939861510485,0
23,0.05,0,0.49823688956578,0
23,0.1,0,0.5007144250595433,1
23,0.15,0,0.49432740347416754,0
24,0.0,0,0.5037477549078072,1
24,0.02,0,0.5050848319835005,1
24,0.05,0,0.5039253357210911,1
24,0.1,0,0.49674604674906114,0
24,0.15,0,0.49138831304148134,0
25,0.0,0,0.5060124029376004,1
25,0.02,0,0.5073128648019362,1
25,0.05,0,0.5061577283178942,1
25,0.1,0,0.5158045675566199,1
25,0.15,0,0.5009164496039505,1
26,0.0,0,0.5049743637302582,1
26,0.02,0,0.5048954264198593,1
26,0.05,0,0.5066851056084042,1
26,0.1,0,0.5111312799030624,1
26,0.15,0,0.5049871453986933,1
27,0.0,0,0.5045281034245644,1
27,0.02,0,0.5039832792528915,1
27,0.05,0,0.5038164585701377,1
27,0.1,0,0.5051266369992187,1
27,0.15,0,0.505951743902116,1
28,0.0,1,0.49756316022442576,0
28,0.02,1,0.4984660629764453,0
28,0.05,1,0.49776969168039836,0
28,0.1,1,0.4987843231712604,0
28,0.15,1,0.4899810031558741,0
29,0.0,1,0.496610062768779,0
29,0.02,1,0.4964663673447192,0
29,0.05,1,0.4977161595366972,0
29,0.1,1,0.4945938756933299,0
29,0.15,1,0.4932913450662192,0
30,0.0,0,0.5040248018904029,1
30,0.02,0,0.5020135456534328,1
30,0.05,0,0.504513117720084,1
30,0.1,0,0.5080661560367372,1
30,0.15,0,0.507471699547817,1
31,0.0,0,0.5160565941698101,1
31,0.02,0,0.5173573678660317,1
31,0.05,0,0.516363452930595,1
31,0.1,0,0.5173676587260578,1
31,0.15,0,0.5215833849625108,1
32,0.0,1,0.5023673267460206,1
32,0.02,1,0.5024250252211043,1
32,0.05,1,0.5034322374231385,1
32,0.1,1,0.5066476732016311,1
32,0.15,1,0.5031177216050531,1
33,0.0,0,0.4810378215255195,0
33,0.02,0,0.4819019270844467,0
33,0.05,0,0.4828214821057486,0
33,0.1,0,0.48023310979953665,0
33,0.15,0,0.47035195285697695,0
34,0.0,1,0.47359955484186744,0
34,0.02,1,0.4736021623184935,0
34,0.05,1,0.4724248824421333,0
